Release.Date,Movie,Production.Budget,Domestic.Gross,Worldwide.Gross,Rate,Raters,Genres,imdbUrl,Directed.by,Produced.by,Written.by,Starring,Music.by,Cinematography,Edited.by,Production.company,Distributed.by,Release.date,Running.time,Country,Language,Budget,Box.office,wikiUrl,image,Screenplay.by,Story.by,Based.on,Production.companies
3/17/2017,Beauty and the Beast,"$160,000,000","$504,014,165","$1,257,523,876",7.3,"176,808",Family Fantasy Musical Romance,http://www.imdb.com/title/tt2771200/,Bill Condon,"David Hoberman
Todd Lieberman",NA,"Emma Watson
Dan Stevens
Luke Evans
Kevin Kline
Josh Gad
Ewan McGregor
Stanley Tucci
Audra McDonald
Gugu Mbatha-Raw
Ian McKellen
Emma Thompson",Alan Menken,Tobias A. Schliessler,Virginia Katz,"Walt Disney Pictures
Mandeville Films","Walt Disney Studios
Motion Pictures","February 23, 2017 (2017-02-23) (Spencer House)
March 17, 2017 (2017-03-17) (United States)",129 minutes[3],United States,English,$160 million[4],$1.263 billion[a],https://en.wikipedia.org/wiki/Beauty_and_the_Beast_(2017_film),//upload.wikimedia.org/wikipedia/en/d/d6/Beauty_and_the_Beast_2017_poster.jpg,"Stephen Chbosky
Evan Spiliotopoulos",NA,"Disney's Beauty and the Beast
by Linda Woolverton[1]
Beauty and the Beast
by Jeanne-Marie Leprince de Beaumont[2]",NA
12/25/2008,Bedtime Stories,"$80,000,000","$110,101,975","$221,468,935",6.1,"77,002",Comedy Family Fantasy Romance,http://www.imdb.com/title/tt0960731/,Adam Shankman,Adam SandlerAndrew GunnJack Giarraputo,Matt LopezTim Herlihy,Adam SandlerKeri RussellGuy PearceRussell BrandRichard GriffithsJonathan PryceCourteney CoxLucy LawlessTeresa Palmer,Rupert Gregson-Williams,Michael Barrett,Tom Costain,"Walt Disney PicturesHappy Madison ProductionsGunn FilmsOffspring Entertainment
Conman & Izzy Productions","Walt Disney Studios
Motion Pictures","December 25, 2008 (2008-12-25) (United States)
January 23, 2009 (2009-01-23) (Poland)
February 20, 2009 (2009-02-20) (Sweden)",99 minutes,United States,English,$80 million,$212.9 million[1],https://en.wikipedia.org/wiki/Bedtime_Stories_%28film%29,//upload.wikimedia.org/wikipedia/en/thumb/4/43/Bedtime_stories.jpg/220px-Bedtime_stories.jpg,NA,NA,NA,NA
11/2/2007,Bee Movie,"$150,000,000","$126,631,277","$287,594,577",6.1,"115,951",Animation Adventure Comedy Family,http://www.imdb.com/title/tt0389790/,"Simon J. Smith
Steve Hickner","Jerry Seinfeld
Christina Steinberg
Cameron Stevning","Jerry Seinfeld
Andy Robin
Barry Marder
Spike Feresten","Jerry Seinfeld
Renée Zellweger",Rupert Gregson-Williams,NA,Nick Fletcher,"DreamWorks Animation
Columbus 81 Productions[1]",Paramount Pictures1,"November 2, 2007 (2007-11-02)",91 minutes,United States,English,$150 million[2],$287.6 million[2],https://en.wikipedia.org/wiki/Bee_Movie,//upload.wikimedia.org/wikipedia/en/thumb/6/62/Bee_movie_ver2.jpg/220px-Bee_movie_ver2.jpg,NA,NA,NA,NA
8/19/2016,Ben-Hur,"$95,000,000","$26,410,477","$88,725,100",5.7,"32,438",Action Adventure Drama History,http://www.imdb.com/title/tt2638144/,Timur Bekmambetov,"Sean Daniel
Joni Levin
Duncan Henderson",NA,"Jack Huston
Toby Kebbell
Rodrigo Santoro
Nazanin Boniadi
Ayelet Zurer
Pilou Asbæk
Sofia Black D'Elia
Morgan Freeman",Marco Beltrami,Oliver Wood,"Dody Dorn
Richard Francis-Bruce",NA,"Paramount Pictures
Metro-Goldwyn-Mayer","August 9, 2016 (2016-08-09) (Mexico City)
August 19, 2016 (2016-08-19) (United States)",125 minutes,United States,English,$100 million[1][2],$94.1 million[3],https://en.wikipedia.org/wiki/Ben-Hur_%282016_film%29,//upload.wikimedia.org/wikipedia/en/thumb/0/0a/Ben-Hur_2016_poster.png/220px-Ben-Hur_2016_poster.png,"Keith Clarke
John Ridley",NA,"Ben-Hur: A Tale of the Christ
by Lew Wallace","Sean Daniel Company
Lightworkers Media"
11/16/2007,Beowulf,"$150,000,000","$82,195,215","$194,995,215",6.2,"148,585",Animation Action Adventure Fantasy,http://www.imdb.com/title/tt0442933/,Robert Zemeckis,Robert ZemeckisSteve BingJack RapkeSteve Starkey,NA,Ray WinstoneAnthony HopkinsJohn MalkovichRobin Wright PennBrendan GleesonCrispin GloverAlison LohmanAngelina Jolie,Alan Silvestri,Robert Presley,Jeremiah O'Driscoll,Shangri-La EntertainmentImageMovers,Paramount Pictures (North America)Warner Bros. Pictures (International),"November 16, 2007 (2007-11-16)",114 minutes,"United Kingdom
United States",English,$150 million,$196.4 million,https://en.wikipedia.org/wiki/Beowulf_(2007_film),//upload.wikimedia.org/wikipedia/en/thumb/a/ab/Beowolfposter.jpg/220px-Beowolfposter.jpg,Neil GaimanRoger Avary,NA,Beowulf,NA
6/24/2005,Bewitched,"$80,000,000","$63,313,159","$131,159,306",4.8,"61,641",Comedy Fantasy Romance,http://www.imdb.com/title/tt0374536/,Nora Ephron,"Nora Ephron
Douglas Wick
Lucy Fisher
Penny Marshall","Nora Ephron
Delia Ephron
Adam McKay","Nicole Kidman
Will Ferrell
Shirley MacLaine
Michael Caine
Jason Schwartzman
Kristin Chenoweth
Heather Burns
Jim Turner
Stephen Colbert
David Alan Grier
Carole Shelley
Steve Carell",George Fenton,John Lindley,Tia Nolan,Red Wagon Entertainment,Columbia Pictures,"June 24, 2005 (2005-06-24)",102 minutes[1],United States,English,$85 million[2],$131.4 million[2],https://en.wikipedia.org/wiki/Bewitched_%282005_film%29,//upload.wikimedia.org/wikipedia/en/thumb/8/86/Bewitchedmovieposter.jpg/220px-Bewitchedmovieposter.jpg,NA,NA,"Bewitched
by Sol Saks",NA
12/17/1999,Bicentennial Man,"$90,000,000","$58,220,776","$87,420,776",6.8,"95,296",Comedy Drama Sci-Fi,http://www.imdb.com/title/tt0182789/,Chris Columbus,"Chris ColumbusWolfgang PetersenGail KatzLaurence Mark
Neal Miller
Mark RadcliffeMichael Barnathan",NA,"Robin Williams
Sam Neill
Embeth Davidtz
Wendy Crewson
Oliver Platt",James Horner,Phil Méheux,Neil Travis,"Touchstone PicturesColumbia Pictures1492 Pictures
Laurence Mark Productions
Radiant Productions",Buena Vista Pictures(USA & Canada)Columbia TriStar Film Distributors International(International),"December 17, 1999 (1999-12-17)",132 minutes,"United States
Canada",English,$100 million,$87.4 million,https://en.wikipedia.org/wiki/Bicentennial_Man_(film),//upload.wikimedia.org/wikipedia/en/thumb/f/fc/Bicentennial_man_film_poster.jpg/215px-Bicentennial_man_film_poster.jpg,Nicholas Kazan,NA,"The Positronic Man
by Isaac AsimovRobert SilverbergThe Bicentennial Man
by Isaac Asimov",NA
11/7/2014,Big Hero 6,"$165,000,000","$222,527,828","$652,127,828",7.8,"322,556",Animation Action Adventure Comedy Drama Family Sci-Fi,http://www.imdb.com/title/tt2245084/,"Don Hall
Chris Williams","Kristina Reed
Roy Conli",NA,"Ryan Potter
Scott Adsit
Daniel Henney
T.J. Miller
Jamie Chung
Damon Wayans, Jr.
Genesis Rodriguez
James Cromwell
Maya Rudolph
Alan Tudyk",Henry Jackman,"Rob Dressel
Adolph Lusinsky",Tim Mertens,"Walt Disney Pictures
Walt Disney Animation Studios","Walt Disney Studios
Motion Pictures","October 23, 2014 (2014-10-23) (Tokyo International
Film Festival)
November 7, 2014 (2014-11-07) (United States)",102 minutes[1][2],United States,English,$165 million[3][4],$657.8 million[4],https://en.wikipedia.org/wiki/Big_Hero_6_(film),//upload.wikimedia.org/wikipedia/en/thumb/4/4b/Big_Hero_6_%28film%29_poster.jpg/220px-Big_Hero_6_%28film%29_poster.jpg,"Jordan Roberts
Dan Gerson
Robert L. Baird",NA,"Big Hero 6
by Man of Action",NA
12/28/2001,Black Hawk Down,"$95,000,000","$108,638,745","$159,691,085",7.7,"315,154",Drama History War,http://www.imdb.com/title/tt0265086/,Ridley Scott,"Jerry Bruckheimer
Ridley Scott",NA,Josh HartnettEwan McGregorTom SizemoreEric BanaWilliam FichtnerEwen BremnerSam ShepardNikolaj Coster-Waldau,Hans Zimmer,Sławomir Idziak,Pietro Scalia,"Revolution Studios
Jerry Bruckheimer FilmsScott Free Productions",Columbia Pictures,"December 28, 2001 (2001-12-28) (United States)",144 minutes,"United States
United Kingdom[1]",English,$110.5 million[2],$173 million[3],https://en.wikipedia.org/wiki/Black_Hawk_Down_(film),//upload.wikimedia.org/wikipedia/en/thumb/0/0c/Black_hawk_down_ver1.jpg/220px-Black_hawk_down_ver1.jpg,Ken Nolan,NA,"Black Hawk Down: A Story of Modern War
by Mark Bowden",NA
10/6/2017,Blade Runner 2049,"$185,000,000","$82,876,503","$225,892,858",8.5,"136,375",Mystery Sci-Fi Thriller,http://www.imdb.com/title/tt1856101/,Denis Villeneuve,"Andrew A. Kosove
Broderick Johnson
Bud Yorkin
Cynthia Sikes Yorkin",NA,"Ryan Gosling
Harrison Ford
Ana de Armas
Sylvia Hoeks
Robin Wright
Mackenzie Davis
Carla Juri
Lennie James
Dave Bautista
Jared Leto","Hans Zimmer
Benjamin Wallfisch",Roger A. Deakins,Joe Walker,NA,Warner Bros. Pictures (United States)Sony Pictures Releasing (International)[1][2],"October 3, 2017 (2017-10-03) (Dolby Theatre)
October 6, 2017 (2017-10-06) (United States)",164 minutes[3],United States,English,$150–185 million[4][5][6][7],$224.5 million[7],https://en.wikipedia.org/wiki/Blade_Runner_2049,//upload.wikimedia.org/wikipedia/en/9/9b/Blade_Runner_2049_poster.png,"Hampton Fancher
Michael Green",Hampton Fancher,"Characters from Do Androids Dream of Electric Sheep?
by Philip K. Dick","Warner Bros. Pictures
Alcon Media Group
Columbia Pictures
Scott Free Productions
Alcon Entertainment
Torridon Films
16:14 Entertainment
Thunderbird Entertainment"
